hour, t(sec), V1, VAngle1, V2, VAngle2, V3, VAngle3, I1, IAngle1, I2, IAngle2, I3, IAngle3
1, 0.00000, 2336.35, -4.37129, 2339.58, -124.457, 2357.21, 114.515, 12.9716, -4.69945, 13.1223, -124.475, 13.0919, 114.842
2, 0.00000, 2335.73, -4.38569, 2339.9, -124.449, 2357.25, 114.515, 12.6592, -4.70166, 12.8082, -124.463, 12.7803, 114.84
3, 0.00000, 2334.07, -4.41635, 2339.14, -124.481, 2358.16, 114.541, 12.657, -4.73521, 12.8013, -124.467, 12.7814, 114.84
4, 0.00000, 2333.66, -4.42395, 2338.97, -124.488, 2358.36, 114.546, 12.6564, -4.74348, 12.7996, -124.467, 12.7816, 114.839
5, 0.00000, 2326.36, -4.59773, 2332.69, -124.646, 2350.6, 114.363, 12.6162, -4.90451, 12.7638, -124.634, 12.7425, 114.657
6, 0.00000, 2324.58, -4.6499, 2329.88, -124.702, 2345.02, 114.229, 12.5969, -4.95248, 12.7518, -124.729, 12.7178, 114.555
7, 0.00000, 2302.95, -5.18204, 2311.37, -125.129, 2316.89, 113.555, 12.4611, -5.42157, 12.6475, -125.261, 12.5857, 113.924
8, 0.00000, 2308.15, -5.06484, 2321.66, -124.879, 2322.18, 113.679, 4.97258, -5.24434, 5.05553, -125.054, 5.02902, 114.033
9, 0.00000, 2297.26, -5.34189, 2314.31, -125.03, 2306.72, 113.303, 3.44959, -5.45786, 3.51552, -125.296, 3.49151, 113.687
10, 0.00000, 2301.95, -5.21814, 2317.87, -124.97, 2315.38, 113.512, 3.45992, -5.36839, 3.52108, -125.173, 3.50123, 113.864
11, 0.00000, 2295.46, -5.31883, 2319.72, -124.979, 2324.87, 113.755, 3.46068, -5.45333, 3.51782, -125.04, 3.51137, 113.947
12, 0.00000, 2291.74, -5.39208, 2319.33, -124.997, 2325.3, 113.769, 3.45751, -5.50922, 3.51506, -125.032, 3.51174, 113.918
13, 0.00000, 2289.38, -5.43553, 2320.21, -124.977, 2326.26, 113.794, 3.45567, -5.53391, 3.51434, -124.998, 3.51354, 113.908
14, 0.00000, 2290.94, -5.39853, 2321.79, -124.937, 2328.12, 113.838, 3.45816, -5.49406, 3.51677, -124.956, 3.51617, 113.95
15, 0.00000, 2291.37, -5.39072, 2321.54, -124.944, 2327.96, 113.834, 3.45855, -5.49154, 3.5168, -124.964, 3.5158, 113.952
16, 0.00000, 2290.98, -5.40279, 2320.49, -124.968, 2326.44, 113.798, 3.45731, -5.50669, 3.51567, -124.996, 3.51372, 113.927
17, 0.00000, 2290.97, -5.41529, 2318.8, -124.988, 2321.28, 113.675, 3.45378, -5.51404, 3.51457, -125.069, 3.50798, 113.851
18, 0.00000, 2294.06, -5.38182, 2312.15, -125.099, 2310.61, 113.414, 7.93153, -5.52227, 8.07222, -125.279, 8.03214, 113.731
