hour, t(sec), V1, VAngle1, V2, VAngle2, V3, VAngle3, I1, IAngle1, I2, IAngle2, I3, IAngle3
1, 0.00000, 2470.34, 0.656586, 2518.09, -120.843, 2467.84, 117.52, 115.844, 0.233126, 119.768, -120.882, 115.865, 117.986
2, 0.00000, 2470.34, 0.656589, 2518.09, -120.843, 2467.84, 117.52, 115.845, 0.233045, 119.768, -120.882, 115.865, 117.986
3, 0.00000, 2468.69, 0.623517, 2517.15, -120.878, 2468.72, 117.544, 117.285, 0.19707, 121.209, -120.89, 117.331, 117.985
4, 0.00000, 2468.3, 0.615393, 2516.95, -120.886, 2468.91, 117.549, 117.633, 0.187493, 121.556, -120.892, 117.687, 117.984
5, 0.00000, 2460.76, 0.419558, 2510.07, -121.067, 2460.87, 117.348, 123.033, 0.00880752, 127.173, -121.077, 123.098, 117.788
6, 0.00000, 2458.85, 0.357513, 2507.17, -121.131, 2455.13, 117.206, 122.21, -0.0503856, 126.393, -121.182, 122.224, 117.676
7, 0.00000, 2436.38, -0.239879, 2486.97, -121.628, 2426.2, 116.48, 138.033, -0.587765, 143.085, -121.779, 138.09, 116.99
8, 0.00000, 2441.49, -0.100677, 2497.8, -121.362, 2431.92, 116.619, 139.301, -0.396278, 144.644, -121.557, 139.552, 117.112
9, 0.00000, 2430.06, -0.40712, 2489.6, -121.55, 2416.2, 116.219, 151.343, -0.63796, 157.499, -121.824, 151.74, 116.744
10, 0.00000, 2434.97, -0.271316, 2493.41, -121.475, 2424.97, 116.439, 150.241, -0.536178, 156.141, -121.689, 150.602, 116.932
11, 0.00000, 2428.79, -0.362788, 2494.76, -121.48, 2434.69, 116.684, 151.607, -0.620234, 157.355, -121.563, 152.357, 117.028
12, 0.00000, 2425.03, -0.437886, 2494.13, -121.501, 2435.16, 116.696, 152.072, -0.680407, 157.847, -121.56, 152.977, 116.998
13, 0.00000, 2422.53, -0.481663, 2494.91, -121.48, 2436.25, 116.722, 151.136, -0.704375, 156.924, -121.525, 152.198, 116.99
14, 0.00000, 2424.18, -0.438341, 2496.63, -121.434, 2438.19, 116.769, 149.718, -0.662754, 155.448, -121.479, 150.779, 117.035
15, 0.00000, 2424.64, -0.430674, 2496.38, -121.442, 2437.99, 116.765, 150.161, -0.659396, 155.893, -121.486, 151.192, 117.038
16, 0.00000, 2424.22, -0.446091, 2495.3, -121.469, 2436.41, 116.727, 150.217, -0.676173, 155.956, -121.52, 151.211, 117.01
17, 0.00000, 2424.13, -0.463876, 2493.74, -121.492, 2431.12, 116.599, 145.625, -0.685367, 151.3, -121.594, 146.503, 116.929
18, 0.00000, 2427.31, -0.441992, 2487.4, -121.61, 2420.05, 116.33, 137.326, -0.697859, 142.711, -121.808, 137.743, 116.796
19, 0.00000, 2429.05, -0.444573, 2483.37, -121.654, 2409.49, 116.065, 129.934, -0.699886, 135.187, -121.962, 130.103, 116.652
20, 0.00000, 2432.64, -0.367475, 2485.02, -121.606, 2410.13, 116.08, 129.037, -0.630498, 134.261, -121.934, 129.127, 116.697
21, 0.00000, 2441.55, -0.154236, 2491.8, -121.418, 2415.64, 116.215, 122.318, -0.425847, 127.292, -121.773, 122.333, 116.869
22, 0.00000, 2448.32, 0.016279, 2496.52, -121.307, 2423.32, 116.402, 121.941, -0.285008, 126.787, -121.632, 121.896, 117.055
23, 0.00000, 2464.07, 0.426557, 2506.84, -121.078, 2443.04, 116.898, 116.761, 0.0385373, 121.057, -121.301, 116.553, 117.527
24, 0.00000, 2461.93, 0.435281, 2510.7, -121.023, 2457.31, 117.257, 117.088, 0.0351316, 121.164, -121.102, 117.126, 117.73
25, 0.00000, 2470.34, 0.656586, 2518.09, -120.843, 2467.84, 117.52, 115.845, 0.232791, 119.768, -120.883, 115.865, 117.985
26, 0.00000, 2470.34, 0.656589, 2518.09, -120.843, 2467.84, 117.52, 115.845, 0.233045, 119.768, -120.882, 115.865, 117.986
27, 0.00000, 2468.69, 0.623517, 2517.15, -120.878, 2468.72, 117.544, 117.285, 0.19707, 121.209, -120.89, 117.331, 117.985
28, 0.00000, 2468.3, 0.615393, 2516.95, -120.886, 2468.91, 117.549, 117.633, 0.187493, 121.556, -120.892, 117.687, 117.984
