hour, t(sec), S1 (kVA), Ang1, S2 (kVA), Ang2, S3 (kVA), Ang3
1, 0.00000, 1.43323, 0.0000182541, 1.43323, 0.0000186808, 1.43323, 0.0000183017
2, 0.00000, 1.43323, 0.0000182541, 1.43323, 0.0000186808, 1.43323, 0.0000183017
3, 0.00000, 1.43323, 0.0000182541, 1.43323, 0.0000186808, 1.43323, 0.0000183017
4, 0.00000, 1.43323, 0.0000182541, 1.43323, 0.0000186808, 1.43323, 0.0000183017
5, 0.00000, 1.43323, 0.0000182541, 1.43323, 0.0000186808, 1.43323, 0.0000183017
6, 0.00000, 1.43323, 0.0000182541, 1.43323, 0.0000186808, 1.43323, 0.0000183017
7, 0.00000, 1.43323, 0.0000182541, 1.43323, 0.0000186808, 1.43323, 0.0000183017
8, 0.00000, 1.43323, 0.0000182541, 1.43323, 0.0000186808, 1.43323, 0.0000183017
9, 0.00000, 1.43323, 0.0000182541, 1.43323, 0.0000186808, 1.43323, 0.0000183017
10, 0.00000, 1.43323, 0.0000182541, 1.43323, 0.0000186808, 1.43323, 0.0000183017
11, 0.00000, 1.43323, 0.0000182541, 1.43323, 0.0000186808, 1.43323, 0.0000183017
12, 0.00000, 1.43323, 0.0000182541, 1.43323, 0.0000186808, 1.43323, 0.0000183017
13, 0.00000, 1.43323, 0.0000182541, 1.43323, 0.0000186808, 1.43323, 0.0000183017
14, 0.00000, 1.43323, 0.0000182541, 1.43323, 0.0000186808, 1.43323, 0.0000183017
15, 0.00000, 1.43323, 0.0000182541, 1.43323, 0.0000186808, 1.43323, 0.0000183017
16, 0.00000, 1.43323, 0.0000182541, 1.43323, 0.0000186808, 1.43323, 0.0000183017
17, 0.00000, 1.43323, 0.0000182541, 1.43323, 0.0000186808, 1.43323, 0.0000183017
18, 0.00000, 1.43323, 0.0000182541, 1.43323, 0.0000186808, 1.43323, 0.0000183017
19, 0.00000, 1.43323, 0.0000182541, 1.43323, 0.0000186808, 1.43323, 0.0000183017
20, 0.00000, 1.43323, 0.0000182541, 1.43323, 0.0000186808, 1.43323, 0.0000183017
21, 0.00000, 1.43323, 0.0000182541, 1.43323, 0.0000186808, 1.43323, 0.0000183017
22, 0.00000, 1.43323, 0.0000182541, 1.43323, 0.0000186808, 1.43323, 0.0000183017
23, 0.00000, 1.43323, 0.0000182541, 1.43323, 0.0000186808, 1.43323, 0.0000183017
24, 0.00000, 1.43323, 0.0000182541, 1.43323, 0.0000186808, 1.43323, 0.0000183017
25, 0.00000, 1.43323, 0.0000182541, 1.43323, 0.0000186808, 1.43323, 0.0000183017
26, 0.00000, 1.43323, 0.0000182541, 1.43323, 0.0000186808, 1.43323, 0.0000183017
27, 0.00000, 1.43323, 0.0000182541, 1.43323, 0.0000186808, 1.43323, 0.0000183017
28, 0.00000, 1.43323, 0.0000182541, 1.43323, 0.0000186808, 1.43323, 0.0000183017
29, 0.00000, 1.43323, 0.0000182541, 1.43323, 0.0000186808, 1.43323, 0.0000183017
30, 0.00000, 1.43323, 0.0000182541, 1.43323, 0.0000186808, 1.43323, 0.0000183017
31, 0.00000, 1.43323, 0.0000182541, 1.43323, 0.0000186808, 1.43323, 0.0000183017
32, 0.00000, 1.43323, 0.0000182541, 1.43323, 0.0000186808, 1.43323, 0.0000183017
33, 0.00000, 1.43323, 0.0000182541, 1.43323, 0.0000186808, 1.43323, 0.0000183017
34, 0.00000, 1.43323, 0.0000182541, 1.43323, 0.0000186808, 1.43323, 0.0000183017
