
SYMMETRICAL COMPONENT VOLTAGES BY BUS (for 3-phase buses)

Bus                 Mag:   V1 (kV)    p.u.     V2 (kV)   %V2/V1    V0 (kV)    %V0/V1

157_d3_10104_d3_1      7.546      1.048          0          0         0         0
157_d3_10105_d3_1      6.915     0.9605          0          0         0         0
157_d3_10161_d3_1      6.915     0.9605          0          0         0         0
157_d3_10162_d3_1          0          0          0          0     6.914         0
157_d3_10106_d3_1      6.908     0.9596          0          0         0         0
154_d3_103             6.908     0.9596          0          0         0         0
157_d3_10107_d3_1      6.895     0.9578          0          0         0         0
150_d3_8               7.536      1.047          0          0         0         0
157_d3_29251_d3_1      7.481      1.039          0          0         0         0
157_d3_29250_d3_1  4.547E-16  6.317E-17  4.547E-16        100      7.48  1.645E18
157_d3_29252_d3_1  2.274E-16  3.158E-17  2.274E-16        100      7.44  3.272E18
157_d3_10160_d3_1      7.416       1.03          0          0         0         0
157_d3_10108_d3_1      7.416       1.03          0          0         0         0
157_d3_9989_d3_1       7.317      1.016          0          0         0         0
157_d3_9990_d3_1       7.295      1.013          0          0         0         0
157_d3_10112_d3_1          0          0          0          0     7.295         0
157_d3_10157_d3_1  5.084E-16  7.062E-17  5.084E-16        100     7.263  1.429E18
157_d3_10125_d3_1      7.212      1.002          0          0         0         0
157_d3_10126_d3_1  2.274E-16  3.158E-17          0          0     7.212  3.172E18
157_d3_10127_d3_1      7.206      1.001          0          0         0         0
150_d3_9                7.56       1.05          0          0         0         0
157_d3_10128_d3_1      7.541      1.047          0          0         0         0
157_d3_10129_d3_1  6.431E-16  8.933E-17  4.547E-16      70.71     7.541  1.173E18
157_d3_32382_d3_1      7.532      1.046          0          0         0         0
157_d3_32379_d3_1      7.532      1.046          0          0         0         0
154_d3_618             7.532      1.046          0          0         0         0
157_d3_32380_d3_1  4.547E-16  6.317E-17  4.547E-16        100      7.53  1.656E18
157_d3_32381_d3_1      7.529      1.046          0          0         0         0
157_d3_32384_d3_1          0          0  9.095E-16          0     7.529         0
157_d3_32383_d3_1      7.517      1.044          0          0         0         0
157_d3_10150_d3_1      7.514      1.044          0          0         0         0
157_d3_10439_d3_6  1.383E-15  1.921E-16  5.084E-16      36.76     7.512  5.432E17
157_d3_10439_d3_7      7.508      1.043          0          0         0         0
157_d3_17056_d3_1          0          0          0          0     7.269         0
157_d3_17054_d3_1          0          0          0          0     7.268         0
157_d3_17052_d3_1  5.084E-16  7.062E-17  5.084E-16        100     7.268   1.43E18
157_d3_17053_d3_1  4.547E-16  6.317E-17  4.547E-16        100     7.268  1.598E18
157_d3_17050_d3_1          0          0          0          0     7.267         0
157_d3_17051_d3_1  4.547E-16  6.317E-17  4.547E-16        100     7.267  1.598E18
157_d3_10531_d3_1  4.547E-16  6.317E-17  4.547E-16        100     7.266  1.598E18
157_d3_10532_d3_1          0          0          0          0     7.266         0
157_d3_17048_d3_1  4.547E-16  6.317E-17  4.547E-16        100     7.265  1.598E18
157_d3_17049_d3_1  4.547E-16  6.317E-17  4.547E-16        100     7.265  1.598E18
157_d3_17046_d3_1          0          0          0          0     7.265         0
157_d3_17047_d3_1  4.547E-16  6.317E-17  4.547E-16        100     7.265  1.597E18
157_d3_17045_d3_1  4.547E-16  6.317E-17  4.547E-16        100     7.264  1.597E18
157_d3_10368_d3_1          0          0          0          0     7.264         0
157_d3_10369_d3_1  9.095E-16  1.263E-16          0          0     7.264  7.987E17
157_d3_10366_d3_1      7.311      1.016      0.136      1.861   0.07574     1.036
157_d3_10367_d3_1      7.311      1.016      0.136      1.861   0.07578     1.037
157_d3_35698_d3_1      7.311      1.016      0.136       1.86   0.07582     1.037
157_d3_36720_d3_1      7.311      1.016      0.136       1.86   0.07582     1.037
157_d3_10209_d3_1      7.327      1.018     0.1313      1.792   0.07199    0.9826
157_d3_10524_d3_1      7.391      1.027          0          0         0         0
157_d3_10525_d3_1      7.391      1.027          0          0         0         0
157_d3_10370_d3_1      7.328      1.018     0.1305      1.781   0.07233     0.987
