hour, t(sec), V1, VAngle1, V2, VAngle2, V3, VAngle3, I1, IAngle1, I2, IAngle2, I3, IAngle3
1, 0.00000, 2338.34, -4.33319, 2341.46, -124.399, 2344.49, 114.555, 108.434, -4.54935, 109.694, -124.521, 109.116, 114.892
2, 0.00000, 2337.72, -4.34765, 2341.78, -124.391, 2344.53, 114.555, 109.706, -4.55537, 111, -124.514, 110.428, 114.884
3, 0.00000, 2336.06, -4.37834, 2341.02, -124.423, 2345.45, 114.581, 111.068, -4.58897, 112.336, -124.517, 111.828, 114.884
4, 0.00000, 2335.66, -4.38595, 2340.85, -124.43, 2345.64, 114.586, 111.397, -4.59726, 112.659, -124.518, 112.167, 114.884
5, 0.00000, 2328.35, -4.55999, 2334.57, -124.588, 2337.92, 114.402, 116.504, -4.75841, 117.869, -124.685, 117.322, 114.701
6, 0.00000, 2326.56, -4.61225, 2331.75, -124.644, 2332.35, 114.268, 115.72, -4.80642, 117.145, -124.781, 116.484, 114.599
7, 0.00000, 2304.75, -5.14138, 2313.21, -125.077, 2319.12, 113.599, 130.807, -5.38153, 132.768, -125.21, 132.14, 113.968
8, 0.00000, 2309.95, -5.02402, 2323.51, -124.827, 2324.42, 113.724, 132.018, -5.20812, 134.223, -125.008, 133.537, 114.073
9, 0.00000, 2299.05, -5.30125, 2316.15, -124.979, 2308.95, 113.347, 143.417, -5.4178, 146.162, -125.245, 145.187, 113.731
10, 0.00000, 2303.75, -5.17742, 2319.7, -124.918, 2317.61, 113.556, 142.383, -5.3283, 144.904, -125.121, 144.109, 113.908
11, 0.00000, 2297.27, -5.27798, 2321.56, -124.927, 2327.11, 113.799, 143.664, -5.41303, 146.04, -124.989, 145.794, 113.992
12, 0.00000, 2293.5, -5.35207, 2321.16, -124.946, 2327.54, 113.813, 144.097, -5.46954, 146.5, -124.981, 146.386, 113.962
13, 0.00000, 2291.14, -5.39561, 2322.04, -124.925, 2328.5, 113.838, 143.211, -5.49302, 145.649, -124.947, 145.635, 113.952
14, 0.00000, 2292.7, -5.35847, 2323.62, -124.885, 2330.36, 113.882, 141.869, -5.45553, 144.279, -124.905, 144.277, 113.993
15, 0.00000, 2293.13, -5.35066, 2323.37, -124.892, 2330.2, 113.878, 142.29, -5.4521, 144.691, -124.912, 144.674, 113.997
16, 0.00000, 2292.74, -5.36276, 2322.32, -124.916, 2328.68, 113.842, 142.342, -5.46657, 144.747, -124.944, 144.692, 113.972
